"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"USaversiveness"	"instructionclarity"	"instructionbelief"	"Group"	"Contingency"	"Cooccurrence"	"Csplus"	"presorder"	"measorder"	"memory1_response"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"47"	95	0.2373	0.3816	0.0488	"compatibletest1"	-1.70469878855667	1.94008612910235	2	-2.24835784723036	1.95305668438289	2	5	8	3	31	2	2	2	1	2	"4 times followed by the sound, 4 times not followed"	1.95305668438289	1.94008612910235	-2.24835784723036	-1.70469878855667
"48"	98	-0.5828	1.0213	0.3194	"incompatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	0.518157895856686	1	1	8	9	2	1	1	1	2	1	"8 times followed by the sound, twice not followed"	0.518157895856686	0.381720800249346	-0.0778319878855952	0.0871013979554501
"49"	99	0.1659	0.1975	0.2504	"compatibletest1"	0.0871013979554501	-0.787053196390404	1	-0.0778319878855952	-0.916740892669522	1	0	8	6	3	2	1	1	1	1	"8 times followed by the sound, 8 times not followed"	-0.787053196390404	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"50"	100	-0.6862	0.651	0.9496	"incompatibletest1"	0.0871013979554501	-0.787053196390404	1	-0.0778319878855952	-0.916740892669522	1	2	9	9	4	2	1	1	2	1	"Never followed by the sound"	-0.916740892669522	-0.787053196390404	-0.0778319878855952	0.0871013979554501
"51"	101	0.2894	0.3669	0.1885	"compatibletest1"	0.0871013979554501	1.5504947968891	1	-0.0778319878855952	-0.916740892669522	1	4	9	9	5	1	2	1	1	1	"4 times followed by the sound, once not followed"	1.5504947968891	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"52"	102	-0.3585	0.4461	0.2336	"incompatibletest1"	0.0871013979554501	-1.17664452860365	1	-0.511937159754549	1.59433198725134	1	5	9	9	6	1	2	1	2	1	"4 times followed by the sound, once not followed"	1.59433198725134	-1.17664452860365	-0.511937159754549	0.0871013979554501
"53"	103	0.7105	0.8445	0.6642	"compatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	-0.916740892669522	1	3	7	9	7	2	2	1	1	1	"4 times followed by the sound, 4 times not followed"	0.381720800249346	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"54"	106	0.0461	0.0695	-0.3104	"incompatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	-0.916740892669522	1	-5	3	4	10	1	1	2	2	1	"8 times followed by the sound, twice not followed"	0.381720800249346	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"55"	107	-0.1379	-0.1944	-0.0699	"compatibletest1"	0.535051444583479	-0.787053196390404	1	-0.0778319878855952	-0.916740892669522	1	2	5	3	11	2	1	2	1	1	"8 times followed by the sound, 8 times not followed"	-0.916740892669522	-0.787053196390404	-0.0778319878855952	0.535051444583479
"56"	108	-0.2692	0.1758	0.3689	"incompatibletest1"	0.0871013979554501	0.771312132462596	1	0.356273183983358	-0.55801619553797	1	3	4	4	12	2	1	2	2	1	"8 times followed by the sound, 8 times not followed"	0.771312132462596	-0.55801619553797	0.0871013979554501	0.356273183983358
