"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"US1valence"	"US2valence"	"instructionclarity"	"instructionbelief"	"Soundcdt"	"Group"	"presorder"	"Contingency"	"Csplus"	"measorder_soundorder"	"nrUSs"	"IATtype"	"concorr"	"lat_comp"	"lat_incomp"	"negUSvalence"	"posUSvalence"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"26"	215496906	-0.219	0.1119	0.5593	"incompatibletest1"	2.05152670270748	-1.42077230716022	2	-1.07607736473606	1.32852209376715	2	-5	NA	9	9	1	10	2	1	1	2	1	1	2	618.366666666667	615.016666666667	-5	NA	1.32852209376715	-1.42077230716022	-1.07607736473606	2.05152670270748
"27"	220876424	-0.2725	0.4418	0.1344	"incompatibletest1"	2.05152670270748	0.0696875305814321	1	-0.463181126560304	-1.02787009188948	1	-5	NA	9	9	1	8	2	2	2	1	1	1	2	671.983333333333	627.5	-5	NA	0.0696875305814321	-1.02787009188948	2.05152670270748	-0.463181126560304
"28"	224858117	-0.0014	0.1559	-0.5595	"compatibletest1"	1.22650752218659	-1.42077230716022	1	-0.0545836344431334	1.32852209376715	1	-4	NA	9	9	1	5	1	1	2	1	1	1	2	767.566666666667	760.4	-4	NA	1.32852209376715	-1.42077230716022	-0.0545836344431334	1.22650752218659
"29"	226028952	-0.0152	0.0052	-0.0514	"incompatibletest1"	0.195233546535478	0.0696875305814321	1	0.149715111615452	0.318639728485739	1	-2	1	3	4	2	24	2	2	2	1	2	1	2	717.583333333333	711.85	-2	1	0.0696875305814321	0.318639728485739	0.195233546535478	0.149715111615452
"30"	226153666	0.1095	-0.348	0.2824	"incompatibletest1"	-0.0110212485947447	-1.42077230716022	1	-0.0545836344431334	1.32852209376715	1	-3	NA	3	8	1	2	2	1	1	1	1	1	2	812.05	825.066666666667	-3	NA	1.32852209376715	-1.42077230716022	-0.0545836344431334	-0.0110212485947447
"31"	229156097	-0.3206	-0.2788	-0.5669	"compatibletest1"	-1.66105960963653	1.18753240888767	1	0.966910095849792	1.66514954886096	1	-5	NA	9	3	1	1	1	1	1	1	1	1	2	1018.01666666667	941.65	-5	NA	1.18753240888767	1.66514954886096	-1.66105960963653	0.966910095849792
"32"	233831765	0.6493	0.6766	0.6949	"compatibletest1"	-0.0110212485947447	1.56014736832308	1	-0.0545836344431334	0.318639728485739	1	0	4	8	9	2	21	1	1	2	1	2	1	2	585.75	779.3	0	4	0.318639728485739	1.56014736832308	-0.0545836344431334	-0.0110212485947447
"33"	239336410	-0.5756	0.536	0.5902	"incompatibletest1"	-0.0110212485947447	1.56014736832308	2	-0.0545836344431334	1.32852209376715	2	3	-5	8	8	2	26	2	1	1	2	2	1	2	833.716666666667	634.25	-5	3	1.32852209376715	1.56014736832308	-0.0545836344431334	-0.0110212485947447
"34"	241767301	0.2836	-0.0057	0.5876	"compatibletest1"	1.02025272705637	-1.0481573477248	1	-0.258882380501719	-1.02787009188948	1	-5	NA	9	9	1	5	1	1	2	1	1	1	2	790	892.483333333333	-5	NA	-1.02787009188948	-1.0481573477248	-0.258882380501719	1.02025272705637
"35"	258784722	0.0182	-0.2212	0.1022	"incompatibletest1"	-0.0110212485947447	-1.42077230716022	1	-0.871778618677474	0.991894638673348	1	-4	0	9	9	2	18	2	1	1	1	2	1	2	598.9	599.183333333333	-4	0	0.991894638673348	-1.42077230716022	-0.871778618677474	-0.0110212485947447
"36"	266956893	0.5235	0.6063	0.4817	"compatibletest1"	-0.0110212485947447	-1.42077230716022	2	-2.09757109502899	0.991894638673348	2	5	-5	9	9	2	29	1	1	2	2	2	1	2	596.766666666667	731	-5	5	0.991894638673348	-1.42077230716022	-2.09757109502899	-0.0110212485947447
"37"	270115586	-0.0272	0.034	0.0288	"incompatibletest1"	2.05152670270748	0.814917449452257	1	-0.0545836344431334	-1.02787009188948	1	0	NA	9	9	1	2	2	1	1	1	1	1	0	835.383333333333	832.216666666667	0	NA	-1.02787009188948	0.814917449452257	-0.0545836344431334	2.05152670270748
"38"	274783184	0.1948	-0.2231	-0.172	"incompatibletest1"	0.401488341665701	0.0696875305814321	2	0.354013857674037	-1.02787009188948	2	-4	NA	9	9	1	16	2	2	2	2	1	1	2	687.716666666667	699.333333333333	-4	NA	0.0696875305814321	-1.02787009188948	0.401488341665701	0.354013857674037
"39"	283342749	0.6061	0.6977	0.791	"compatibletest1"	-0.0110212485947447	1.56014736832308	2	-1.07607736473606	0.655267183579543	2	3	-3	5	9	2	29	1	1	2	2	2	1	2	681.966666666667	839.033333333333	-3	3	0.655267183579543	1.56014736832308	-1.07607736473606	-0.0110212485947447
"40"	289841284	-0.3698	0.3691	0.4037	"incompatibletest1"	-0.629785633985413	0.0696875305814321	1	0.966910095849792	-1.02787009188948	1	-3	NA	9	9	1	4	2	2	1	1	1	1	2	754.25	655.133333333333	-3	NA	-1.02787009188948	0.0696875305814321	0.966910095849792	-0.629785633985413
"41"	291011844	-0.2288	0.2933	0.0897	"incompatibletest1"	2.05152670270748	-1.0481573477248	1	-1.68897360291181	0.318639728485739	1	-5	NA	9	9	1	4	2	2	1	1	1	1	2	635.733333333333	597.5	-5	NA	0.318639728485739	-1.0481573477248	-1.68897360291181	2.05152670270748
"42"	296211101	0.5225	0.3976	0.6357	"compatibletest1"	0.607743136795924	-1.42077230716022	2	-1.28037611079464	0.318639728485739	2	3	-4	7	8	2	29	1	1	2	2	2	1	2	855.7	1101.36666666667	-4	3	0.318639728485739	-1.42077230716022	-1.28037611079464	0.607743136795924
"43"	314932865	0.2762	0.2392	0.348	"compatibletest1"	-0.0110212485947447	0.814917449452257	1	-0.0545836344431334	-1.02787009188948	1	-4	NA	7	9	1	1	1	1	1	1	1	1	2	691.366666666667	806.733333333333	-4	NA	0.814917449452257	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"44"	333795546	-0.081	0.0547	0.1188	"incompatibletest1"	2.05152670270748	1.56014736832308	2	1.78410508008413	0.991894638673348	2	5	-5	8	8	2	26	2	1	1	2	2	1	2	616.133333333333	611.75	-5	5	0.991894638673348	1.56014736832308	1.78410508008413	2.05152670270748
"45"	342357909	0.4106	0.5172	0.2942	"compatibletest1"	0.195233546535478	-1.42077230716022	1	-0.258882380501719	0.655267183579543	1	5	0	6	6	2	21	1	1	2	1	2	1	2	1168.75	1587.66666666667	5	0	0.655267183579543	-1.42077230716022	-0.258882380501719	0.195233546535478
"46"	345739281	0.3374	0.1724	0.7644	"compatibletest1"	-0.0110212485947447	0.442302490016844	1	-0.0545836344431334	1.66514954886096	1	-3	1	4	7	2	17	1	1	1	1	2	1	2	704.3	771.1	-3	1	0.442302490016844	1.66514954886096	-0.0110212485947447	-0.0545836344431334
"47"	349151835	0.4376	0.4327	0.6637	"compatibletest1"	-0.0110212485947447	0.0696875305814321	2	-1.28037611079464	-1.02787009188948	2	-3	-5	7	7	2	27	1	2	1	2	2	1	2	723.7	845.7	-5	-3	0.0696875305814321	-1.02787009188948	-0.0110212485947447	-1.28037611079464
"48"	350596097	0.6416	0.3467	1.0484	"compatibletest1"	-0.0110212485947447	0.814917449452257	1	-0.258882380501719	-1.02787009188948	1	-5	NA	9	7	1	1	1	1	1	1	1	1	2	538.716666666667	650.7	-5	NA	0.814917449452257	-1.02787009188948	-0.0110212485947447	-0.258882380501719
"49"	395047824	0.3918	-0.6888	-0.006	"incompatibletest1"	-1.66105960963653	1.18753240888767	2	0.762611349791207	-0.35461518170187	2	-3	NA	8	8	1	16	2	2	2	2	1	1	2	641.25	730.183333333333	-3	NA	1.18753240888767	-0.35461518170187	-1.66105960963653	0.762611349791207
"50"	412149335	0.2836	0.2414	0.2796	"compatibletest1"	0.607743136795924	0.0696875305814321	1	0.558312603732622	-1.02787009188948	1	-5	3	8	9	2	23	1	2	2	1	2	1	2	681.633333333333	746.866666666667	-5	3	-1.02787009188948	0.0696875305814321	0.558312603732622	0.607743136795924
"51"	414549697	0.3033	0.0781	0.4796	"compatibletest1"	-0.0110212485947447	-1.0481573477248	1	-0.0545836344431334	-1.02787009188948	1	4	NA	8	8	1	1	1	1	1	1	1	1	2	619.966666666667	646.833333333333	4	NA	-1.0481573477248	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"52"	419537739	0.7524	0.6617	0.8541	"compatibletest1"	-1.04229522424586	0.0696875305814321	2	-0.0545836344431334	1.32852209376715	2	-5	NA	8	7	1	11	1	2	1	2	1	1	2	610.85	788.283333333333	-5	NA	0.0696875305814321	1.32852209376715	-1.04229522424586	-0.0545836344431334
"53"	420115269	0.1239	0.2447	-0.0464	"compatibletest1"	-0.0110212485947447	-1.42077230716022	1	0.762611349791207	0.991894638673348	1	-5	NA	9	9	1	5	1	1	2	1	1	1	2	731.283333333333	758.366666666667	-5	NA	0.991894638673348	-1.42077230716022	0.762611349791207	-0.0110212485947447
"54"	436003095	0.1722	-0.0356	0.4597	"compatibletest1"	1.02025272705637	-1.42077230716022	1	-0.871778618677474	1.66514954886096	1	-3	3	5	8	2	23	1	2	2	1	2	1	2	726.416666666667	764.033333333333	-3	3	1.66514954886096	-1.42077230716022	-0.871778618677474	1.02025272705637
"55"	443774358	0.4827	-0.3441	-0.8638	"incompatibletest1"	-0.423530838855191	1.18753240888767	1	1.57980633402555	-1.02787009188948	1	-4	5	8	9	2	22	2	1	2	1	2	1	2	889.8	1110.11666666667	-4	5	1.18753240888767	-1.02787009188948	-0.423530838855191	1.57980633402555
"56"	457393043	0.8979	0.9796	0.8092	"compatibletest1"	0.607743136795924	1.56014736832308	1	1.37550758796696	-1.02787009188948	1	-5	5	8	8	2	19	1	2	1	1	2	1	2	628.483333333333	857.916666666667	-5	5	1.56014736832308	-1.02787009188948	0.607743136795924	1.37550758796696
"57"	463615065	-0.3641	-0.4615	-0.2871	"compatibletest1"	-0.0110212485947447	0.814917449452257	2	-0.0545836344431334	-1.02787009188948	2	1	-3	9	9	2	25	1	1	1	2	2	1	2	766.933333333333	655.983333333333	-3	1	0.814917449452257	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"58"	468221841	0.5488	0.6934	0.4782	"compatibletest1"	0.607743136795924	1.56014736832308	1	-0.258882380501719	-1.02787009188948	1	-3	-1	8	9	2	17	1	1	1	1	2	1	2	589.033333333333	680.116666666667	-3	-1	1.56014736832308	-1.02787009188948	0.607743136795924	-0.258882380501719
"59"	494388417	0.2415	0.4294	0.1604	"compatibletest1"	1.22650752218659	0.0696875305814321	1	-1.48467485685323	-1.02787009188948	1	0	NA	8	8	1	1	1	1	1	1	1	1	2	783.316666666667	848.5	0	NA	0.0696875305814321	-1.02787009188948	1.22650752218659	-1.48467485685323
