date;time;group;subject;session;build;memory1_2_response;memory1_latency;memory2_2_response;memory2_latency
27/08/20;13:56:02;451343701;324;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;12214;Always followed by the SECOND sound;7700
27/08/20;13:56:18;39553733;314;1;6.2.2;9 times followed by the FIRST sound, once not followed by any sound;10666;Always followed by the SECOND sound;3206
27/08/20;13:56:09;499881957;373;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9341;Always followed by the PLEASANT sound;5751
27/08/20;13:56:50;357437220;476;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7282;Twice followed by the SECOND sound, 8 times not followed by any sound;4917
27/08/20;13:56:56;154489786;556;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4928;Always followed by the SECOND sound;3218
27/08/20;13:57:05;841132722;474;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;5134;Always followed by the SECOND sound;3872
27/08/20;13:57:15;106599276;530;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6281;Always followed by the SECOND sound;4485
27/08/20;13:57:12;176432813;451;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7533;Always followed by the SECOND sound;4501
27/08/20;13:56:50;379726995;534;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8839;Always followed by the PLEASANT sound;3660
27/08/20;13:57:39;796686540;563;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;5573;Always followed by the SECOND sound;2675
27/08/20;13:57:39;852041037;549;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5689;Always followed by the PLEASANT sound;4794
27/08/20;08:57:30;181742700;467;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8158;Always followed by the SECOND sound;4652
27/08/20;08:57:09;753836417;376;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;14498;Always followed by the PLEASANT sound;6215
27/08/20;13:57:41;437641487;479;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;18644;Always followed by the PLEASANT sound;2421
27/08/20;13:57:24;554356210;453;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;23386;Always followed by the PLEASANT sound;4892
27/08/20;13:58:06;193366208;494;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8344;Always followed by the PLEASANT sound;3604
27/08/20;13:58:02;762298600;517;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8903;Always followed by the PLEASANT sound;3878
27/08/20;13:58:14;336545428;470;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8429;Always followed by the PLEASANT sound;3604
27/08/20;13:58:37;543005878;550;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5977;Always followed by the PLEASANT sound;3043
27/08/20;13:58:49;276258100;538;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7225;Always followed by the SECOND sound;4142
27/08/20;13:59:11;503575233;481;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7043;Always followed by the SECOND sound;4899
27/08/20;13:59:15;422231987;333;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8353;Always followed by the PLEASANT sound;4701
27/08/20;13:59:34;394817869;529;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6964;Always followed by the SECOND sound;3813
27/08/20;13:59:46;319298417;558;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8111;Always followed by the PLEASANT sound;3230
27/08/20;13:59:39;185525714;524;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10059;Always followed by the SECOND sound;4828
27/08/20;13:59:58;838490384;442;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6488;Always followed by the SECOND sound;4278
27/08/20;13:59:49;623414276;521;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8713;Always followed by the SECOND sound;2809
27/08/20;14:00:38;210054580;610;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4790;Always followed by the SECOND sound;2485
27/08/20;13:59:57;147365571;609;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;5467;Always followed by the SECOND sound;3424
27/08/20;14:00:37;930991084;592;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9009;Always followed by the PLEASANT sound;6522
27/08/20;14:00:01;415337249;531;1;6.2.2;Never followed by the FIRST sound;27647;Never followed by the SECOND sound;18994
