date;time;group;subject;session;build;memory1_response;memory1_latency;memory2_response;memory2_latency
27/08/20;13:43:02;598348940;351;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;37969;Always followed by the PLEASANT sound;5275
27/08/20;13:42:34;439998731;291;1;6.2.2;Never followed by the FIRST sound;25595;Never followed by the SECOND sound;17461
27/08/20;13:43:04;706540886;348;1;6.2.1;8 times followed by the FIRST sound, twice not followed by any sound;20528;Always followed by the SECOND sound;7491
27/08/20;13:45:09;817106032;383;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6694;Always followed by the PLEASANT sound;6418
27/08/20;13:45:02;179013920;357;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;19800;Always followed by the PLEASANT sound;6808
27/08/20;08:45:46;996065642;449;1;6.2.2;I don't remember;10448;Always followed by the SECOND sound;4564
27/08/20;13:44:10;919221469;326;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;13720;Always followed by the PLEASANT sound;7172
27/08/20;13:45:29;263652179;385;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;18332;Always followed by the SECOND sound;5963
27/08/20;07:44:59;110117912;380;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;18871;Always followed by the SECOND sound;6677
27/08/20;13:46:46;260528710;398;1;6.2.2;I don't remember;13809;I don't remember;3594
27/08/20;13:45:13;824121642;389;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;18059;Always followed by the PLEASANT sound;4944
27/08/20;13:47:15;193366208;494;1;6.2.2;Always followed by the UNPLEASANT sound;8123;I don't remember;8233
27/08/20;13:46:21;1118971;430;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;22876;Always followed by the PLEASANT sound;7559
27/08/20;13:46:10;721036902;425;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;11792;Always followed by the SECOND sound;8047
27/08/20;13:47:40;392038653;478;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9964;Always followed by the PLEASANT sound;6734
27/08/20;13:45:57;338197049;388;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;12700;Always followed by the SECOND sound;6823
27/08/20;13:47:05;984505366;406;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15697;Always followed by the PLEASANT sound;5036
27/08/20;08:47:11;753836417;376;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;14636;Always followed by the PLEASANT sound;6429
27/08/20;13:46:52;80969645;426;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;15661;Always followed by the SECOND sound;17256
27/08/20;13:45:20;451343701;324;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;32597;Always followed by the SECOND sound;8435
27/08/20;13:47:42;499881957;373;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;25709;Always followed by the PLEASANT sound;7365
27/08/20;13:48:54;554356210;453;1;6.2.2;Never followed by the UNPLEASANT sound;11654;Twice followed by the PLEASANT sound, 8 times not followed by any sound;18676
27/08/20;13:49:27;357437220;476;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;13232;Once followed by the SECOND sound, 9 times not followed by any sound;6108
27/08/20;13:47:58;176432813;451;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;30305;Always followed by the SECOND sound;8695
27/08/20;13:48:10;336545428;470;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;11629;Always followed by the PLEASANT sound;3380
27/08/20;13:49:48;39553733;314;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;13018;Always followed by the SECOND sound;3444
27/08/20;13:49:02;379726995;534;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8340;Always followed by the PLEASANT sound;3723
27/08/20;13:48:34;841132722;474;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;12094;Always followed by the SECOND sound;6429
27/08/20;13:48:18;623414276;521;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;15750;Always followed by the SECOND sound;8621
27/08/20;08:49:41;181742700;467;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9252;Always followed by the SECOND sound;8978
27/08/20;13:49:41;503575233;481;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;13593;8 times followed by the SECOND sound, twice not followed by any sound;13431
27/08/20;13:50:23;154489786;556;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9958;Always followed by the SECOND sound;5735
27/08/20;13:49:12;762298600;517;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;30477;Always followed by the PLEASANT sound;4750
27/08/20;13:49:15;437641487;479;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;23455;Always followed by the PLEASANT sound;4173
27/08/20;13:50:04;185525714;524;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;18075;Always followed by the SECOND sound;7466
27/08/20;13:50:55;106599276;530;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7347;Always followed by the SECOND sound;5472
27/08/20;13:51:08;852041037;549;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6902;Always followed by the PLEASANT sound;4347
27/08/20;13:50:29;543005878;550;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8407;Always followed by the PLEASANT sound;4699
27/08/20;13:48:29;83750545;359;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;63328;Never followed by the PLEASANT sound;13949
27/08/20;13:50:40;319298417;558;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12119;Always followed by the PLEASANT sound;7037
27/08/20;13:51:23;796686540;563;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7871;Always followed by the SECOND sound;4523
27/08/20;13:50:54;276258100;538;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;16460;Always followed by the SECOND sound;10807
27/08/20;13:52:42;193366208;494;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5290;Always followed by the PLEASANT sound;5205
